"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 24 13:15:58 GMT 2024","Mon Jun 24 13:15:59 GMT 2024","282","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldNotBeAbleToCreateNewBuildConfigFromRepositoryWithNoUrl","User should not be able to create a build config from repo with no URL provided",""
"passed","Mon Jun 24 13:14:22 GMT 2024","Mon Jun 24 13:15:18 GMT 2024","55994","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Mon Jun 24 13:15:44 GMT 2024","Mon Jun 24 13:15:44 GMT 2024","259","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"broken","Mon Jun 24 13:15:59 GMT 2024","Mon Jun 24 13:16:00 GMT 2024","497","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldNotBeAbleToCreateNewBuildConfigManuallyForExistingName","User should not be able to create a build config manually with existing name ",""
"passed","Mon Jun 24 13:15:50 GMT 2024","Mon Jun 24 13:15:51 GMT 2024","131","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Mon Jun 24 13:15:49 GMT 2024","Mon Jun 24 13:15:49 GMT 2024","224","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingExistingName","User should not be able to create a build with existing Name",""
"broken","Mon Jun 24 13:15:54 GMT 2024","Mon Jun 24 13:15:54 GMT 2024","376","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProjectFromRepository","User should be able to create a project from a public repository",""
"passed","Mon Jun 24 13:15:50 GMT 2024","Mon Jun 24 13:15:50 GMT 2024","301","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"broken","Mon Jun 24 13:15:57 GMT 2024","Mon Jun 24 13:15:57 GMT 2024","275","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldBeAbleToCreateNewBuildConfigFromRepository","User should be able to create a build config from public repository ",""
"passed","Mon Jun 24 13:15:47 GMT 2024","Mon Jun 24 13:15:47 GMT 2024","220","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not be able to create a project",""
